caption,entity_1,entity_2,entity_3,image_name,index_1,index_2,index_3,id
A young person has his face close to the toilet bowl.,person,bowl,toilet,000000052087.jpg,3,11,10,4319
An older man backing up a truck with a bicycle in it's flat bed.,bed,bicycle,truck,000000236148.jpg,15,10,7,8226
A small bathroom with a toilet by the window and a pedestal sink with a mirrored medicine cabinet over it,toilet,sink,window,000000143370.jpg,6,14,9,9509
A couple on a motorcycle in front of a bus and a metermaid car,motorcycle,bus,car,000000263664.jpg,5,10,16,10031
"A shot of a kitchen with a microwave, sink, dishwasher, and refrigerator. ",refrigerator,sink,microwave,000000205577.jpg,15,10,8,10733
"A kitchen with a refrigerator, microwave, dishwasher and sink.",refrigerator,sink,microwave,000000205577.jpg,5,11,7,11933
A man wearing a blue bow tie and a fedora hat in a car. ,tie,hat,car,000000124766.jpg,7,11,14,17818
A dog with goggles is in a motorcycle side car.,motorcycle,dog,car,000000239985.jpg,8,2,10,18345
A dog in helmet and sunglasses in a motorcycle sidecar.,motorcycle,dog,car,000000239985.jpg,9,2,11,18756
A man with a bow tie sits in a car with a hat on his head.,tie,hat,car,000000124766.jpg,6,13,10,19798
A white apple computer and keyboard on desk.,apple,desk,keyboard,000000295768.jpg,3,9,7,20885
A dog sitting on the side car of a motorcycle in parking lot.,motorcycle,dog,car,000000239985.jpg,10,2,7,21078
Two dogs are looking out a car door window.,door,window,car,000000370210.jpg,8,9,7,23696
A cat on the lid of a toilet looking perturbed.,bed,cat,toilet,000000241876.jpg,12,2,8,24116
An orange tabby cat lying in a bathroom sink.,orange,cat,sink,000000231846.jpg,2,4,9,25412
A orange cat taking a nap on top of a car.,orange,cat,car,000000193680.jpg,2,3,11,25614
A cat standing on the toilet bowl seat,cat,bowl,toilet,000000241876.jpg,2,7,6,25766
Two adorable dogs hanging out of a car door window.,door,window,car,000000370210.jpg,9,10,8,27488
An orange cat sleeping on top of a red car.,orange,cat,car,000000193680.jpg,2,3,10,27564
"A basic bathroom with a toilet, sink and mirror.",mirror,toilet,sink,000000061422.jpg,10,6,8,28779
A dog with a helmet and sunglasses in the sidecar of a motorcycle.,motorcycle,dog,car,000000239985.jpg,14,2,11,30246
"A bathroom with a mirror, sink and a toilet.",mirror,toilet,sink,000000075101.jpg,5,10,7,33008
Two desktop computer monitors sitting on a desk with a keyboard and mouse.,mouse,desk,keyboard,000000034196.jpg,14,9,12,35041
a bathroom with a sink a small mirror and a toilet,mirror,toilet,sink,000000075101.jpg,8,11,5,35264
"A hotel room with a flat screen tv, chair, and bed. ",chair,bed,tv,000000568893.jpg,10,13,8,36322
a man is reading a book in a car with a small dog,dog,book,car,000000307993.jpg,13,6,9,39888
"A desk with two computer monitors and a wired keyboard and mouse.
",mouse,desk,keyboard,000000034196.jpg,13,2,11,42715
"A bathroom featuring a walk in shower, mirror, sink and toilet.",mirror,toilet,sink,000000294832.jpg,9,13,11,43916
"A garage with a car inside, a red truck and a small airplane. ",truck,airplane,car,000000028389.jpg,10,14,5,44097
A cat is drinking from inside the toilet bowl,cat,bowl,toilet,000000514537.jpg,2,9,8,44105
A cat sitting on a desk next to a window.,cat,desk,window,000000540669.jpg,2,6,10,44957
A fluffy cat sitting on a desk by a window.,cat,desk,window,000000540669.jpg,3,7,10,48071
a bathroom with a sink a toilet and a mirror,mirror,toilet,sink,000000287151.jpg,10,7,5,49282
A man is sitting in a car holding a dog and reading a book.,dog,book,car,000000307993.jpg,10,14,7,51786
a red truck  an airplane and a car in a garage,truck,airplane,car,000000028389.jpg,3,5,8,52098
A bathroom with a large sink and mirror opens onto a room with the toilet and bathtub.,mirror,toilet,sink,000000242611.jpg,8,15,6,53294
A cat looking down at the person lying on the bed.,bed,cat,person,000000048419.jpg,11,2,7,53387
A person walking a dog while riding a bicycle.,person,bicycle,dog,000000210060.jpg,2,9,5,56418
"Bicycle, backpack and can of pop resting on concrete near train track.",backpack,train,bicycle,000000506577.jpg,3,12,1,56735
A cat has his face buried in the bowl of a white toilet.,cat,bowl,toilet,000000411685.jpg,2,9,13,56987
A glass bowl filled with fruit and cake next to a cup of coffee.,cup,cake,bowl,000000008718.jpg,12,8,3,58345
An orange motorcycle is parked next to a car.,orange,motorcycle,car,000000037322.jpg,2,3,9,59730
A brown bird sits on the handlebar of a bicycle or motorcycle.,motorcycle,bicycle,bird,000000358765.jpg,13,11,3,59841
A person standing in the kitchen holding a ladle above a bowl while reading a book.,person,bowl,book,000000168775.jpg,2,13,17,59963
"A pink bathroom contains a toilet sink, cabinets, and mirror.",mirror,toilet,sink,000000253441.jpg,12,6,7,61044
an orange and white cat is sitting under a car,orange,cat,car,000000036124.jpg,2,5,10,62269
An orange motorcycle parked behind a blue car.,orange,motorcycle,car,000000037322.jpg,2,3,8,64707
"a small bathroom with a red door, standing shower, floor drain, sink and toilet.",door,toilet,sink,000000545162.jpg,7,17,15,65114
A person sitting on as bench with a backpack.,backpack,person,bench,000000263163.jpg,9,2,6,65690
A plate holds a fork with peanut butter and half of a sliced banana.,fork,banana,plate,000000463555.jpg,5,14,2,67958
A computer keyboard next to a mouse and remote control sitting on top of a table.,mouse,keyboard,remote,000000230190.jpg,8,4,10,70093
"There is a keyboard, mouse, and remote, on a conference table",mouse,keyboard,remote,000000230190.jpg,6,4,9,71062
"A black and white image of a glossy table with a keyboard, mouse, and remote on it. ",mouse,keyboard,remote,000000230190.jpg,14,12,17,72259
An urban garage door painted with a cat riding a bicycle.,door,cat,bicycle,000000434891.jpg,4,8,11,75467
A bathroom with a white toilet next to a sink under a window.,toilet,sink,window,000000017235.jpg,6,10,13,76518
"A tiled bathroom showing a country sink basin, toilet and mirror.",mirror,toilet,sink,000000017235.jpg,13,11,8,76833
A white sink under a mirror beside a window.,mirror,sink,window,000000196521.jpg,6,3,9,77729
"A computer desk holding a computer monitor, a keyboard and a cup of coffee.",cup,desk,keyboard,000000482974.jpg,15,4,12,79058
a man on a bicycle dressed up like the cat in the hat,cat,bicycle,hat,000000013296.jpg,10,5,13,79244
Large mirror over sink in a room with tiled floors and large window.,mirror,sink,window,000000196521.jpg,2,4,14,79754
A person in a hat with a dog next to motorcycles,person,hat,dog,000000082312.jpg,2,5,8,82841
a bathroom with a toilet a sink and a window,toilet,sink,window,000000093331.jpg,5,7,10,87917
a bathroom with a sink and a mirror and a window,mirror,sink,window,000000024996.jpg,8,5,11,88287
A bathroom with an open door and a sink beneath a mirror.,door,mirror,sink,000000432605.jpg,6,12,9,88376
A person standing over a toilet bowl with a black cover,person,bowl,toilet,000000482382.jpg,2,7,6,90462
Bathroom sink with cupboards and person reflected in mirror.,person,mirror,sink,000000110560.jpg,7,10,2,90819
Small bathroom with a sink with a mirror and a small toilet. ,mirror,toilet,sink,000000545317.jpg,8,12,5,92120
"Kitchen area, with storage shelves, stove/oven, dish washer, refrigerator, counter and two person dining table.",person,oven,refrigerator,000000283816.jpg,20,10,15,93435
A bird sitting on a ledge outside of window with a car in the background.,bird,window,car,000000566038.jpg,2,9,12,95433
"Eifel tower in the back with a person, giraffe, bird and kangaroo  in front.",person,giraffe,bird,000000254172.jpg,9,11,13,95921
A bathroom with a sink and toilet and a window.,toilet,sink,window,000000111076.jpg,7,5,10,96369
a shower door a sink a mirror and an outlet,door,mirror,sink,000000394517.jpg,3,7,5,98150
Two hot dogs sit on a white paper plate near a soda cup which are sitting on a green picnic table while a bike and a silver car are parked nearby.,cup,car,plate,000000200365.jpg,13,28,9,100414
"A white porcelain sink is in the bathroom, next to an orange soap dish attached to the wall, near the door with graffiti spray painted onto it.",orange,door,sink,000000423769.jpg,13,23,4,103182
A large orange cat sleeps on the hood of a car.,orange,cat,car,000000578632.jpg,3,4,11,103869
A coffee cake sitting on a blue plate with a spoon containing a smiley face.,spoon,cake,plate,000000438999.jpg,11,3,8,105160
