caption,entity_1,entity_2,entity_3,image_name,index_1,index_2,index_3,id
a person with a white hat has his knee up and his hands are holding onto a frisbee.,frisbee,person,hat,000000040720.jpg,18,2,6,593071
Two on a street and a person under an umbrella as seen through a window.,person,umbrella,window,000000428683.jpg,7,10,15,163097
A dog pulling on a frisbee being held by another person.,frisbee,person,dog,000000475380.jpg,6,11,2,529220
A dog tied to a white barrel in the bed of a truck.  ,bed,truck,dog,000000536400.jpg,10,13,2,200633
A desk with a laptop computer and a tv next to sound equipment.,tv,desk,laptop,000000102739.jpg,10,2,5,47511
A man in a straw hat holding a frisbee with a dog.,frisbee,hat,dog,000000149442.jpg,9,6,12,197382
A cat laying on a bed with a remote control on it's back.,bed,cat,remote,000000308812.jpg,6,2,9,532550
A rear view mirror shows a giraffe looking behind a car.,giraffe,mirror,car,000000432120.jpg,7,4,11,218326
A multi layered cake plate filled with cup cakes.,cup,cake,plate,000000392269.jpg,8,4,5,446861
"A kitchen with a stove, microwave, cabinets, a counter, a refrigerator and no sink. ",refrigerator,sink,microwave,000000107454.jpg,15,18,7,550008
A person is on a train holding a remote and phone.,person,train,remote,000000196653.jpg,2,6,9,220971
A cat with a can and a TV remote on him.,cat,tv,remote,000000396455.jpg,2,8,9,62350
A cat laying on top of a couch next to a remote control.,couch,cat,remote,000000309237.jpg,8,2,12,64708
A cat sits on the armrest of a couch beside the remote control.,couch,cat,remote,000000188824.jpg,10,2,13,617941
"A white bathroom with a toilet, sink, mirror and shower curtain.",mirror,toilet,sink,000000507789.jpg,10,6,8,532711
"A bedroom with a bed, desk, and tv with paper and pen on the table",bed,tv,desk,000000519316.jpg,5,10,7,359258
A big orange and white cat sitting on a car.,orange,cat,car,000000072535.jpg,3,6,10,732239
A white toilet sitting next to a sink under a mirror.,mirror,toilet,sink,000000400204.jpg,11,3,8,530906
A cat uses the suitcase as its bed.,bed,cat,suitcase,000000324383.jpg,8,2,5,474579
"The bathroom contains a window, toilet, sink, and bathtub.",toilet,sink,window,000000240501.jpg,7,9,5,368366
A bus passes a car and a truck carrying livestock on a road.,bus,truck,car,000000211299.jpg,2,8,5,188431
"A mirror, couch, coffee table, fireplace, chair and television sitting in a living room with two windows.",couch,chair,mirror,000000432297.jpg,4,11,2,268739
"A plate with food on it, including broccoli and spaghetti, is on the table with a fork, an empty glass, and a can of soda-pop.",fork,broccoli,plate,000000465552.jpg,19,9,2,56163
"A bowl contains a vegetable platter with carrots, cauliflower, broccoli, celery, cucumbers, and green peppers going in clockwise-order encircling a container of dip with a spoon in it",spoon,bowl,broccoli,000000103510.jpg,34,2,12,86449
A can of soda sitting on a desk next to a keyboard and a mouse.,mouse,desk,keyboard,000000406286.jpg,15,8,12,463735
a toaster oven sits next to a sink ,oven,toaster,sink,000000487225.jpg,3,2,8,776142
"A bathroom with a toilet, sink, mirror and shower stall.",mirror,toilet,sink,000000266366.jpg,9,5,7,819343
A brown teddy bear sitting on top of a person sleeping in a bed.,bed,bear,person,000000494837.jpg,14,4,10,95722
The shaggy dog has its head out the window of the car. ,dog,window,car,000000041754.jpg,3,9,12,283704
