caption,entity_1,entity_2,image_name,index_1,index_2,id
a person holding onto a banana with brown spots ,person,banana,000000484307.jpg,2,6,351971
A woman eating a donut on a park bench.,donut,bench,000000413044.jpg,5,9,378143
A small bathroom contains a sink and toilet.,toilet,sink,000000347957.jpg,8,6,624116
"Kitchen with an island sink, stove, and a refrigerator. ",refrigerator,sink,000000485951.jpg,11,5,91011
A catting setting on a bed next to a yellow teddy bear.,bed,bear,000000360178.jpg,7,13,343762
The cake is the shape of a train. ,train,cake,000000097496.jpg,8,2,538753
A person on a surfboard riding a wave ,person,surfboard,000000496476.jpg,2,5,703078
A person on a snowboard on a ramp.,person,snowboard,000000143440.jpg,2,5,381491
"A bathroom with a sink, counter top, and mirror is shown.",mirror,sink,000000306404.jpg,11,5,119545
A dog in a swimming pool with a frisbee in its mouth.,frisbee,dog,000000328228.jpg,9,2,171258
"A shower, toilet, and sink in a bathroom. ",toilet,sink,000000150032.jpg,4,7,406546
A gray tiger cat sitting on top of a sink.,cat,sink,000000018819.jpg,4,10,495246
A pepperoni and pepper pizza on a plate on a table.,pizza,plate,000000330897.jpg,5,8,773850
A man wearing an orange vest. taking items from the back of a white truck. ,orange,truck,000000267111.jpg,5,16,685931
"A den with a television, couch, chair, ottoman and shelving.",couch,chair,000000329703.jpg,7,9,822234
A plate with food on it and an orange with a fork on the plate. ,orange,fork,000000097883.jpg,9,12,666596
a close up of a person leading a horse,horse,person,000000403955.jpg,9,6,306005
A teddy bear sitting up straight on a bench.,bear,bench,000000523543.jpg,3,9,608396
"An office with shelves, a chair and a desk.",chair,desk,000000112811.jpg,7,10,553527
a person sitting at a computer keyboard playing a video game,person,keyboard,000000255573.jpg,2,8,306225
A man with a hat and wearing a tie standing outdoors.,tie,hat,000000104176.jpg,9,5,286067
a person walks with an open umbrella over their shoulder ,person,umbrella,000000221057.jpg,2,7,754793
A person playing a game with the Wii remote control.,person,remote,000000262207.jpg,2,9,762084
There is a orange on the table next to a small pocket knife,orange,knife,000000377611.jpg,4,13,285408
"A basket on the table with a fork, fish and french fries inside next to a cup",cup,fork,000000215746.jpg,18,8,417406
A bus shaped like a boat is traveling on a street. ,boat,bus,000000171841.jpg,6,2,366140
A dog in the grass that is holding a frisbee.,frisbee,dog,000000219760.jpg,10,2,518559
A sink and mirror in a small room.,mirror,sink,000000173742.jpg,4,2,383683
a cat eating some kind of crumbs out of a plate.,cat,plate,000000039386.jpg,2,11,343563
A cat stares at the camera while it stands on a chair.,chair,cat,000000380416.jpg,12,2,13407
A woman walking on a brick sidewalk holding an orange umbrella.,orange,umbrella,000000465507.jpg,10,11,648076
a red car with a black top and a man with a green umbrella,umbrella,car,000000306439.jpg,14,3,155787
A cat standing on top of a black horse. ,horse,cat,000000001323.jpg,9,2,527796
A plate with a cut in half sandwich next to a pile of fries.,sandwich,plate,000000197251.jpg,8,2,76199
"A person standing at the door of a bus, as it is stopped at a bus stop.",door,person,000000468469.jpg,6,2,469637
A flat screen TV sits next to a box of tissues and a remote control.,tv,remote,000000028149.jpg,4,14,8489
a small bathroom sink with a toothbrush and some toothpaste on it,toothbrush,sink,000000195712.jpg,7,4,108490
a close up of a motorcycle mirror with a sky background,motorcycle,mirror,000000073541.jpg,6,7,116015
a person sitting on a bench talking on a cell phone,person,bench,000000462381.jpg,2,6,47956
The girl has taped a teddy bear in a chair like a hostage. ,chair,bear,000000581278.jpg,10,7,714139
A bird perched on a banana with trees in the background.,bird,banana,000000019151.jpg,2,6,170735
Small stuffed teddy bear in black and white with a top hat.,bear,hat,000000306089.jpg,4,12,663430
Two dogs and a cat lazing on a bed,bed,cat,000000026503.jpg,10,5,232911
"A plate of food with broccoli, noodles and meat.",broccoli,plate,000000049851.jpg,6,2,40139
A dog sitting down on a chair staring.,chair,dog,000000383658.jpg,7,2,546512
